file,start_time,end_time,x,y,bird_id,filename,img_idx,img_path,img_url
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,448.0947195,451.0947195,8.6725025,6.8338113,r02,02-20171031-MZ000003,02-20171031-MZ000003-448.09-451.09,assets/02-20171031-MZ000003-448.09-451.09.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-448.09-451.09.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000004.wav,0.0,3.0,8.828029,6.3146224,r02,02-20171031-MZ000004,02-20171031-MZ000004-0.0-3.0,assets/02-20171031-MZ000004-0.0-3.0.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000004-0.0-3.0.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000004.wav,9.8016205,12.8016205,10.156527,6.298202,r02,02-20171031-MZ000004,02-20171031-MZ000004-9.8-12.8,assets/02-20171031-MZ000004-9.8-12.8.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000004-9.8-12.8.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000009.wav,0.1852745,3.1852745,7.7400513,6.484095,r02,02-20171031-MZ000009,02-20171031-MZ000009-0.19-3.19,assets/02-20171031-MZ000009-0.19-3.19.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000009-0.19-3.19.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000015.wav,28.786141,31.786141,9.056499,7.9848046,r02,02-20171031-MZ000015,02-20171031-MZ000015-28.79-31.79,assets/02-20171031-MZ000015-28.79-31.79.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000015-28.79-31.79.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000021.wav,23.715658,26.715658,4.914547,3.477846,r02,02-20171031-MZ000021,02-20171031-MZ000021-23.72-26.72,assets/02-20171031-MZ000021-23.72-26.72.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000021-23.72-26.72.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171107-MZ000003.wav,0.5017745,3.5017745,8.869335,6.2753005,r02,02-20171107-MZ000003,02-20171107-MZ000003-0.5-3.5,assets/02-20171107-MZ000003-0.5-3.5.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171107-MZ000003-0.5-3.5.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171107-MZ000003.wav,12.716228,15.716228,9.024069,8.558356,r02,02-20171107-MZ000003,02-20171107-MZ000003-12.72-15.72,assets/02-20171107-MZ000003-12.72-15.72.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171107-MZ000003-12.72-15.72.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171107-MZ000003.wav,41.6572825,44.6572825,8.969931,6.1787686,r02,02-20171107-MZ000003,02-20171107-MZ000003-41.66-44.66,assets/02-20171107-MZ000003-41.66-44.66.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171107-MZ000003-41.66-44.66.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171107-MZ000003.wav,46.7265505,49.7265505,9.231414,6.2616386,r02,02-20171107-MZ000003,02-20171107-MZ000003-46.73-49.73,assets/02-20171107-MZ000003-46.73-49.73.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171107-MZ000003-46.73-49.73.png
